"date","Price_1BC","Price_2BO","Price_3BL","Price_4BZ","Price_5CO","Price_6CW","Price_7DANS","Price_8BOW","Price_9DPRB","Price_10GD","Price_11GS","Price_12IZ","Price_13NO","Price_14NW","Price_15OHIB","Price_16OD","Price_17ON","Price_18OO","Price_19SV","Price_20WGM","Price_21WP","Price_22ZUID"
"2022-07-05",175.515151515152,137.526315789474,143.608870967742,145.732142857143,206.227124183007,206.953542392567,148.94,168.986301369863,182.690777576854,99.5454545454545,131.421686746988,182.975,140.333333333333,137.558823529412,161.585365853659,133.222222222222,192.02390438247,161.805111821086,118.019801980198,169.809523809524,169.66307277628,191.860335195531
"2022-07-06",175.545454545455,137.631578947368,143.939516129032,145.75,206.31862745098,206.953542392567,148.94,169.511830635118,182.960216998192,99.5681818181818,131.566265060241,183.09375,140.365591397849,137.625,161.790243902439,133.305555555556,192.003984063745,161.920127795527,118.09900990099,169.863945578231,169.199460916442,191.966480446927
"2022-07-07",175.727272727273,137.736842105263,144.024193548387,149.571428571429,207.77614379085,207.540069686411,149.16,169.805728518057,182.98191681736,99.7727272727273,131.144578313253,183.0625,140.666666666667,137.75,161.809756097561,133.416666666667,192.254980079681,162.26517571885,118.19801980198,170.557823129252,169.711590296496,195.687150837989
"2022-07-08",178.333333333333,138.105263157895,150.274193548387,151.017857142857,217.539215686275,219.049941927991,152.78,174.353673723537,189.826401446655,100.113636363636,146.614457831325,187.30625,141.258064516129,138.492647058824,165.292682926829,140.638888888889,198.192771084337,166.173076923077,121.673267326733,178.102040816327,175.224324324324,203.053072625698
"2022-07-09",178.636363636364,138.263157894737,152.177419354839,151.071428571429,218.812091503268,220.31475029036,152.9,175.413449564135,189.842676311031,100.295454545455,151.361445783133,187.75625,141.451612903226,138.698529411765,165.609756097561,144.694444444444,198.771084337349,166.308681672026,122.861386138614,178.428571428571,175.808108108108,203.916201117318
"2022-07-10",176.545454545455,137.842105263158,142.923387096774,149.714285714286,207.645424836601,208.073170731707,149.08,169.241594022416,182.316455696203,99.8636363636364,131.951807228916,183.1625,140.494623655914,137.786764705882,161.087804878049,132.027777777778,191.406374501992,160.86858974359,116.811881188119,169.979591836735,170.617250673854,194.346368715084
"2022-07-11",175.575757575758,137.631578947368,143.790322580645,149.553571428571,207.864379084967,208.088269454123,148.94,169.511830635118,182.524412296564,99.5681818181818,130.987951807229,182.96875,140.387096774194,137.683823529412,160.50243902439,133.305555555556,192.235059760956,160.891025641026,118.059405940594,169.91156462585,169.986522911051,194.701117318436
"2022-07-12",175.575757575758,137.631578947368,143.790322580645,149.553571428571,208.508169934641,207.889663182346,149.26,169.418430884184,182.55877034358,99.5909090909091,131,182.95625,140.397849462366,137.720588235294,160.673170731707,133.305555555556,191.940239043825,161.664536741214,118.148514851485,169.938775510204,170.212938005391,192.231843575419
"2022-07-13",175.636363636364,137.684210526316,143.834677419355,149.571428571429,208.58660130719,208.32868757259,149.24,169.521793275218,182.766726943942,99.6363636363636,133.204819277108,183.20625,140.430107526882,137.786764705882,160.712195121951,133.388888888889,191.860557768924,161.833865814696,118.247524752475,170.013605442177,170.865229110512,192.435754189944
"2022-07-14",183.969696969697,137.789473684211,143.915322580645,149.607142857143,208.730392156863,208.786295005807,149.3,169.613947696139,183.810126582278,100.386363636364,133.78313253012,183.3125,141.268817204301,137.867647058824,161.243902439024,133.472222222222,192.03187250996,162.11821086262,118.356435643564,170.700680272109,170.673854447439,193.058659217877
